cdsid,role,firstName,lastName,email,imageUrl
aagrawal,Software Engineer,Aarti,Agrawal,aagrawal@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png
aanders1,Software Engineer,Ava,Anderson,aanders1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203500.png
aanderso,Product Manager,Addison,Anderson,aanderso@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png
abrooks,Product Manager,Amy,Brooks,abrooks@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630534.png
abrown,Software Engineer,Aiden,Brown,abrown@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630583.png
abrown1,Product Manager,Alexander,Brown,abrown1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629638.png
abrown2,Software Engineer,Andrew,Brown,abrown2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628960.png
abrown3,Software Engineer,Aubree,Brown,abrown3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628386.png
abrown4,Data Scientist,Ava,Brown,abrown4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630631.png
abutler,Product Manager,Alice,Butler,abutler@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203937.png
achoudh1,Software Engineer,Ayesha,Choudhury,achoudh1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png
achoudhu,Data Scientist,Ananya,Choudhury,achoudhu@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203648.png
adavis,Software Engineer,Aubrey,Davis,adavis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630175.png
adavis1,Product Designer,Ava,Davis,adavis1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png
adeshpan,Product Manager,Arvind,Deshpande,adeshpan@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png
afoster,Enablement Manager,Alan,Foster,afoster@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629028.png
afoster1,Product Manager,Amy,Foster,afoster1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628962.png
agupta,Software Engineer,Abhishek,Gupta,agupta@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630641.png
agupta1,Product Designer,Aditya,Gupta,agupta1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628963.png
agupta2,Go To Market Lead,Anu,Gupta,agupta2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641735.png
aharris,Product Manager,Addison,Harris,aharris@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631116.png
aharris1,Software Engineer,Alan,Harris,aharris1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630163.png
aharris2,Anchor,Alice,Harris,aharris2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628366.png
aharris3,Software Engineer,Alonzo,Harris,aharris3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628964.png
aharris4,Product Manager,Ava,Harris,aharris4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631094.png
aharris5,Software Engineer,Avery,Harris,aharris5@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png
ahughes,Anchor,Alice,Hughes,ahughes@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png
aiyer,Software Engineer,Aniket,Iyer,aiyer@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631230.png
ajohnso1,Enablement Manager,Alan,Johnson,ajohnso1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203084.png
ajohnso2,Software Engineer,Alexander,Johnson,ajohnso2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png
ajohnso3,Anchor,Amelia,Johnson,ajohnso3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png
ajohnso4,Product Manager,Andrew,Johnson,ajohnso4@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png
ajohnson,Product Manager,Addison,Johnson,ajohnson@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641734.png
ajones,Product Manager,Alexander,Jones,ajones@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1628966.png
ajones1,Software Engineer,Alyssa,Jones,ajones1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png
ajones2,Software Engineer,Amelia,Jones,ajones2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629647.png
ajones3,Product Manager,Anna,Jones,ajones3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png
ajoshi,Go To Market Lead,Amit,Joshi,ajoshi@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1627736.png
ajoshi1,Go To Market Lead,Anamika,Joshi,ajoshi1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630699.png
akapoor,Product Manager,Anand,Kapoor,akapoor@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202722.png
akapoor1,Software Engineer,Anita,Kapoor,akapoor1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/201976.png
akapoor2,Software Engineer,Anuj,Kapoor,akapoor2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1630180.png
akapoor3,Anchor,Arvind,Kapoor,akapoor3@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641844.png
akhanna,Data Engineer,Ashok,Khanna,akhanna@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/203920.png
akumar,Software Engineer,Aditi,Kumar,akumar@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png
akumar1,Enablement Manager,Anu,Kumar,akumar1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641931.png
akumar2,Product Designer,Ashwin,Kumar,akumar2@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/202687.png
alewis,Data Engineer,Anthony,Lewis,alewis@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png
amalik,Product Designer,Amrit,Malik,amalik@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1641778.png
amartin1,Software Engineer,Andrew,Martinez,amartin1@ford.com,https://cdn.nba.com/headshots/nba/latest/260x190/1631205.png
